Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
183.9291610718,0.0000819116,183.9291610718,-0.0020139164,183.9291610718,0.0020155815,183.9291610718,-87.6709057988,183.9291610718,-6567.6709057988,183.9291610718,1.0131058356,183.9291610718,-7.6593664162
183.9534089565,-0.0016298817,183.9534089565,-0.0022766986,183.9534089565,0.0027999769,183.9534089565,-125.5987612187,183.9534089565,-6605.5987612187,183.9534089565,1.0638378107,183.9534089565,-7.7188565313
183.9584982395,-0.0031005807,183.9584982395,-0.0022058287,183.9584982395,0.0038051650,183.9584982395,-144.5710251543,183.9584982395,-6624.5710251543,183.9584982395,1.1033138991,183.9584982395,-7.4227101276
183.9969615936,-0.0040028337,183.9969615936,-0.0021164408,183.9969615936,0.0045279134,183.9969615936,-152.132995769,183.9969615936,-6632.132995769,183.9969615936,1.1316202304,183.9969615936,-6.8499698229
184.0126881599,-0.0049540483,184.0126881599,-0.0019356177,184.0126881599,0.0053187603,184.0126881599,-158.6586996413,184.0126881599,-6638.6586996413,184.0126881599,1.1490615028,184.0126881599,-6.0580715505
184.0427291393,-0.0057964820,184.0427291393,-0.0016980591,184.0427291393,0.0060400835,184.0427291393,-163.672238553,184.0427291393,-6643.672238553,184.0427291393,1.1561665504,184.0427291393,-5.1145640705
184.0487375259,-0.0059613575,184.0487375259,-0.0012802597,184.0487375259,0.0060972821,184.0487375259,-167.8792767508,184.0487375259,-6647.8792767508,184.0487375259,1.1536412392,184.0487375259,-4.0783045328
184.0720722675,-0.0060602895,184.0720722675,-0.0006879307,184.0720722675,0.0060992096,184.0720722675,-173.5238198560,184.0720722675,-6653.5238198560,184.0720722675,1.1423864023,184.0720722675,-2.985611353
184.0780801773,-0.0060410298,184.0780801773,-0.0000246911,184.0780801773,0.0060410803,184.0780801773,-179.7658198081,184.0780801773,-6659.7658198081,184.0780801773,1.1234112326,184.0780801773,-1.8557379978
184.1178498268,-0.0057371239,184.1178498268,0.0010518511,184.1178498268,0.0058327507,184.1178498268,169.6107072263,184.1178498268,-6670.3892927737,184.1178498268,1.0978176224,184.1178498268,-0.6750134872
184.1348495483,-0.0038251057,184.1348495483,0.0018487031,184.1348495483,0.0042484276,184.1348495483,154.2051627939,184.1348495483,-6685.7948372061,184.1348495483,1.0667856528,184.1348495483,0.5719902172
184.1475133896,-0.0028596842,184.1475133896,0.0017204123,184.1475133896,0.0033373061,184.1475133896,148.9684966818,184.1475133896,-6691.0315033182,184.1475133896,1.0314522291,184.1475133896,1.8629307728
184.1627621651,-0.0022999587,184.1627621651,0.0020632586,184.1627621651,0.0030897971,184.1627621651,138.1051948318,184.1627621651,-6701.8948051682,184.1627621651,0.9930149844,184.1627621651,3.2306212483
184.1927351952,-0.0008419817,184.1927351952,0.0022985618,184.1927351952,0.0024479215,184.1927351952,110.1181893456,184.1927351952,-6729.8818106544,184.1927351952,0.9525176240,184.1927351952,4.6924913962
184.1979987621,0.0001884148,184.1979987621,0.0020155432,184.1979987621,0.0020243306,184.1979987621,84.6594583699,184.1979987621,-6755.3405416301,184.1979987621,0.9109013836,184.1979987621,6.1540615756
184.2361125946,0.0010321164,184.2361125946,0.001660773,184.2361125946,0.0019553596,184.2361125946,58.1403925594,184.2361125946,-6781.8596074406,184.2361125946,0.8689169839,184.2361125946,7.5001868237
184.2418925762,0.0020508921,184.2418925762,0.0013181409,184.2418925762,0.002437961,184.2418925762,32.7294986409,184.2418925762,-6807.2705013591,184.2418925762,0.8270880497,184.2418925762,8.5859021601
184.2685174942,0.0032184520,184.2685174942,0.0003328047,184.2685174942,0.0032356132,184.2685174942,5.9036998679,184.2685174942,-6834.0963001321,184.2685174942,0.7856553021,184.2685174942,9.2636417148
184.2735183239,0.0037288291,184.2735183239,-0.0011962424,184.2735183239,0.0039160136,184.2735183239,-17.7867148412,184.2735183239,-6857.7867148412,184.2735183239,0.7445926250,184.2735183239,9.3818604699
184.3143010139,0.0036401704,184.3143010139,-0.0028431413,184.3143010139,0.0046189060,184.3143010139,-37.9914817409,184.3143010139,-6877.9914817409,184.3143010139,0.70355253,184.3143010139,8.8267473897
184.3198082447,0.0029581634,184.3198082447,-0.0042465109,184.3198082447,0.005175286,184.3198082447,-55.1385322641,184.3198082447,-6895.1385322641,184.3198082447,0.6629012698,184.3198082447,7.5467229121
184.3593130112,0.0018565134,184.3593130112,-0.0055358570,184.3593130112,0.0058388659,184.3593130112,-71.4605291308,184.3593130112,-6911.4605291308,184.3593130112,0.6219155929,184.3593130112,5.5776228349
184.3643131256,0.0004129065,184.3643131256,-0.0063225466,184.3643131256,0.0063360151,184.3643131256,-86.2634911619,184.3643131256,-6926.2634911619,184.3643131256,0.5807752682,184.3643131256,3.1100140230
184.3915324211,-0.001254521,184.3915324211,-0.0068169283,184.3915324211,0.0069314020,184.3915324211,-100.427484833,184.3915324211,-6940.427484833,184.3915324211,0.5386431874,184.3915324211,0.2875113807
184.3974134922,-0.0026943066,184.3974134922,-0.0067202979,184.3974134922,0.0072402826,184.3974134922,-111.8468717797,184.3974134922,-6951.8468717797,184.3974134922,0.4946968614,184.3974134922,-2.6349576191
184.4362959862,-0.0041204949,184.4362959862,-0.0063128844,184.4362959862,0.0075386331,184.4362959862,-123.1329637518,184.4362959862,-6963.1329637518,184.4362959862,0.4482276938,184.4362959862,-5.3649910371
184.4491636753,-0.0053856985,184.4491636753,-0.0053410635,184.4491636753,0.0075850318,184.4491636753,-135.2384113252,184.4491636753,-6975.2384113252,184.4491636753,0.3986727017,184.4491636753,-7.6128354047
184.4822385311,-0.0063323667,184.4822385311,-0.0044063634,184.4822385311,0.0077145904,184.4822385311,-145.1679584463,184.4822385311,-6985.1679584463,184.4822385311,0.3457301839,184.4822385311,-9.1321065466
184.4874584675,-0.0071117956,184.4874584675,-0.0033631337,184.4874584675,0.0078669121,184.4874584675,-154.6907596127,184.4874584675,-6994.6907596127,184.4874584675,0.2893142853,184.4874584675,-9.7430934573
184.5119714737,-0.0076548646,184.5119714737,-0.0020253135,184.5119714737,0.0079182603,184.5119714737,-165.1803345755,184.5119714737,-7005.1803345755,184.5119714737,0.2297175646,184.5119714737,-9.3671058071
184.5169715881,-0.0077946278,184.5169715881,-0.0003921754,184.5169715881,0.0078044874,184.5169715881,-177.1196747611,184.5169715881,-7017.1196747611,184.5169715881,0.1674849467,184.5169715881,-8.040033129
184.5566444397,-0.0027551186,184.5566444397,-0.0073540595,184.5566444397,0.0078532076,184.5566444397,-110.5379170775,184.5566444397,-6950.5379170775,184.5566444397,0.1036303214,184.5566444397,-6.0683380743
184.5724375248,-0.0040756410,184.5724375248,-0.0062628329,184.5724375248,0.0074722102,184.5724375248,-123.0547250113,184.5724375248,-6963.0547250113,184.5724375248,0.0396009103,184.5724375248,-3.3325869392
184.5880072117,-0.0051339508,184.5880072117,-0.0048318399,184.5880072117,0.0070501154,184.5880072117,-136.7363778642,184.5880072117,-6976.7363778642,184.5880072117,-0.0228132335,184.5880072117,-0.1464668171
184.6030414104,-0.0056940142,184.6030414104,-0.0033600184,184.6030414104,0.0066114689,184.6030414104,-149.4552898296,184.6030414104,-6989.4552898296,184.6030414104,-0.0815136839,184.6030414104,3.1313073698
184.6339464188,-0.0057894788,184.6339464188,-0.0016754159,184.6339464188,0.0060270294,184.6339464188,-163.8600974536,184.6339464188,-7003.8600974536,184.6339464188,-0.1342635438,184.6339464188,6.1482594488
184.6392655373,-0.0051821595,184.6392655373,-0.0001757592,184.6392655373,0.0051851392,184.6392655373,-178.0574884963,184.6392655373,-7018.0574884963,184.6392655373,-0.1788406040,184.6392655373,8.5757518100
184.6791644096,-0.0043105844,184.6791644096,0.0011008478,184.6791644096,0.0044489329,184.6791644096,165.6738722952,184.6791644096,-7034.3261277048,184.6791644096,-0.2131415764,184.6791644096,10.155517457
184.6914987564,-0.0033902978,184.6914987564,0.0020033444,184.6914987564,0.0039379574,184.6914987564,149.4209405117,184.6914987564,-7050.5790594883,184.6914987564,-0.2352348997,184.6914987564,10.713641381
184.710208416,-0.0023984621,184.710208416,0.0028320050,184.710208416,0.0037111822,184.710208416,130.2616996759,184.710208416,-7069.7383003241,184.710208416,-0.2434678465,184.710208416,10.1899567583
184.72266078,-0.0010903687,184.72266078,0.002893334,184.72266078,0.0030919711,184.72266078,110.6491915279,184.72266078,-7089.3508084721,184.72266078,-0.2365296001,184.72266078,8.6262299147
