DDS Data [I]_x,DDS Data [I]_y,DDS Data [Q]_x,DDS Data [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
44.0215008259,-0.0720055289,44.0215008259,-0.0388592154,44.0215008259,0.0818219702,44.0215008259,-151.645599776,44.0215008259,-1231.645599776,44.0215008259,-1144.9784583771,44.0215008259,-6.14319076
44.0826067924,-0.0833272054,44.0826067924,-0.0278211501,44.0826067924,0.0878489588,44.0826067924,-161.5369511760,44.0826067924,-1241.5369511760,44.0826067924,-1151.6933288582,44.0826067924,-6.4900410888
44.0826067924,-0.0959405236,44.0826067924,-0.0197042912,44.0826067924,0.0979430608,44.0826067924,-168.3939658794,44.0826067924,-1248.3939658794,44.0826067924,-1158.8537906842,44.0826067924,-6.1044385586
44.0826067924,-0.0998037915,44.0826067924,-0.0106933266,44.0826067924,0.100375017,44.0826067924,-173.8844605778,44.0826067924,-1253.8844605778,44.0826067924,-1166.5846335459,44.0826067924,-5.1176016131
44.1339142323,-0.1024011557,44.1339142323,0.0025455757,44.1339142323,0.1024327909,44.1339142323,178.5759856827,44.1339142323,-1261.4240143173,44.1339142323,-1174.4897464886,44.1339142323,-3.7569429769
44.1339142323,-0.095805821,44.1339142323,0.0138062194,44.1339142323,0.0967954907,44.1339142323,171.7997716698,44.1339142323,-1268.2002283302,44.1339142323,-1182.6222630202,44.1339142323,-2.1648170770
44.1339142323,-0.0824418824,44.1339142323,0.0179193735,44.1339142323,0.0843668650,44.1339142323,167.7370676960,44.1339142323,-1272.262932304,44.1339142323,-1190.9936701591,44.1339142323,-0.5243891534
44.1993768215,-0.0686192624,44.1993768215,0.0179045559,44.1993768215,0.0709166856,44.1993768215,165.3760937176,44.1993768215,-1274.6239062824,44.1993768215,-1199.5980953808,44.1993768215,0.949016911
44.1993768215,-0.0542343904,44.1993768215,0.0172429911,44.1993768215,0.0569094881,44.1993768215,162.3627372953,44.1993768215,-1277.6372627047,44.1993768215,-1208.3305403853,44.1993768215,2.1674908481
44.1993768215,-0.0421572506,44.1993768215,0.0156552758,44.1993768215,0.0449702284,44.1993768215,159.6273049561,44.1993768215,-1280.3726950439,44.1993768215,-1217.1241192376,44.1993768215,2.9959971444
44.2580759525,-0.0275511117,44.2580759525,0.010133646,44.2580759525,0.0293556559,44.2580759525,159.8058420846,44.2580759525,-1280.1941579154,44.2580759525,-1225.9320913070,44.2580759525,3.3407641257
44.2580759525,-0.0188924477,44.2580759525,0.0082552966,44.2580759525,0.020617335,44.2580759525,156.3964624278,44.2580759525,-1283.6035375722,44.2580759525,-1234.7288784815,44.2580759525,3.2565402668
44.2580759525,-0.0121818023,44.2580759525,0.0070346556,44.2580759525,0.0140670782,44.2580759525,149.9947485634,44.2580759525,-1290.0052514366,44.2580759525,-1243.4808378245,44.2580759525,2.7359657295
44.318220377,-0.0035356675,44.318220377,0.0010816242,44.318220377,0.003697412,44.318220377,162.9901879574,44.318220377,-1277.0098120426,44.318220377,-1252.1497254594,44.318220377,1.3405075032
44.318220377,0.0012070476,44.318220377,-0.0024327437,44.318220377,0.0027157330,44.318220377,-63.6109020844,44.318220377,-1143.6109020844,44.318220377,-1260.5580717338,44.318220377,0.2469968456
44.318220377,0.0019488006,44.318220377,-0.0016496938,44.318220377,0.0025532946,44.318220377,-40.2484976659,44.318220377,-1120.2484976659,44.318220377,-1268.7918759534,44.318220377,-0.9248472208
44.3793542385,0.0034662300,44.3793542385,0.0025596108,44.3793542385,0.0043088697,44.3793542385,36.4437275891,44.3793542385,-1043.5562724109,44.3793542385,-1276.7266669251,44.3793542385,-2.2988829895
44.3793542385,0.0085589020,44.3793542385,0.0057867309,44.3793542385,0.0103315564,44.3793542385,34.0628886901,44.3793542385,-1045.9371113099,44.3793542385,-1284.4019696364,44.3793542385,-3.0321227695
44.3793542385,0.0281000304,44.3793542385,-0.0014292969,44.3793542385,0.0281363573,44.3793542385,-2.911817707,44.3793542385,-1082.911817707,44.3793542385,-1291.7891854348,44.3793542385,-3.2715389074
44.4404461384,0.0053352498,44.4404461384,0.0122030494,44.4404461384,0.0133183822,44.4404461384,66.3847492183,44.4404461384,-1013.6152507817,44.4404461384,-1298.6839456787,44.4404461384,-2.9536191674
44.4404461384,-0.0248233773,44.4404461384,0.0403001127,44.4404461384,0.0473317985,44.4404461384,121.6315314882,44.4404461384,-958.3684685118,44.4404461384,-1305.0161461738,44.4404461384,-1.8496434396
44.4404461384,-0.0006071923,44.4404461384,0.0256729052,44.4404461384,0.0256800846,44.4404461384,91.3548552204,44.4404461384,-988.6451447796,44.4404461384,-1310.7999495393,44.4404461384,0.0383198948
44.5097947121,0.0266300839,44.5097947121,0.0140094317,44.5097947121,0.0300902899,44.5097947121,27.7477533936,44.5097947121,-1052.2522466064,44.5097947121,-1315.9953978263,44.5097947121,3.2452896808
44.5097947121,0.0351797296,44.5097947121,0.0102181999,44.5097947121,0.0366336592,44.5097947121,16.1963107136,44.5097947121,-1063.8036892864,44.5097947121,-1320.4631384405,44.5097947121,6.4893926817
44.5097947121,0.0271307262,44.5097947121,0.0141538327,44.5097947121,0.0306007726,44.5097947121,27.5506056956,44.5097947121,-1052.4493943044,44.5097947121,-1324.0962621461,44.5097947121,10.0088974356
44.5699687004,0.0230037376,44.5699687004,0.0161770424,44.5699687004,0.0281223869,44.5699687004,35.1162435245,44.5699687004,-1044.8837564755,44.5699687004,-1326.8263042359,44.5699687004,13.5304296308
44.5699687004,0.0238650293,44.5699687004,0.0125576262,44.5699687004,0.0269672690,44.5699687004,27.7530589505,44.5699687004,-1052.2469410495,44.5699687004,-1328.6120858561,44.5699687004,15.867622097
44.5699687004,0.0183806766,44.5699687004,0.0097548489,44.5699687004,0.0208088046,44.5699687004,27.9554365458,44.5699687004,-1052.0445634542,44.5699687004,-1329.3984859084,44.5699687004,16.5269429235
44.6244215965,0.0134788248,44.6244215965,0.0082741258,44.6244215965,0.015815811,44.6244215965,31.5441436648,44.6244215965,-1048.4558563352,44.6244215965,-1329.1494474556,44.6244215965,14.900203056
44.6244215965,0.0148462862,44.6244215965,0.0066068677,44.6244215965,0.0162500127,44.6244215965,23.9899350689,44.6244215965,-1056.0100649311,44.6244215965,-1327.8612968147,44.6244215965,10.34972856
44.6244215965,0.0126600926,44.6244215965,0.0061221061,44.6244215965,0.0140626501,44.6244215965,25.8072564404,44.6244215965,-1054.1927435596,44.6244215965,-1325.5215200598,44.6244215965,2.9409996977
44.6874120235,0.0177500685,44.6874120235,0.0010820339,44.6874120235,0.0177830180,44.6874120235,3.4884009176,44.6874120235,-1076.5115990824,44.6874120235,-1322.1789457322,44.6874120235,-6.5848240579
44.6874120235,0.0198784226,44.6874120235,-0.0066573395,44.6874120235,0.0209635840,44.6874120235,-18.5158425251,44.6874120235,-1098.5158425251,44.6874120235,-1317.8718487461,44.6874120235,-17.5406664383
44.6874120235,0.0047308204,44.6874120235,-0.0069187473,44.6874120235,0.008381511,44.6874120235,-55.6369152967,44.6874120235,-1135.6369152967,44.6874120235,-1312.6823639820,44.6874120235,-28.1076288391
44.7492690086,-0.0075229011,44.7492690086,-0.0035460930,44.7492690086,0.0083167792,44.7492690086,-154.7620723975,44.7492690086,-1234.7620723975,44.7492690086,-1306.7785620246,44.7492690086,-35.9694333658
44.7492690086,-0.0174025822,44.7492690086,0.0020018311,44.7492690086,0.0175173398,44.7492690086,173.4380679640,44.7492690086,-1266.561932036,44.7492690086,-1300.2004063224,44.7492690086,-40.3937383475
44.7492690086,-0.0286790415,44.7492690086,0.0068863036,44.7492690086,0.0294942130,44.7492690086,166.497969511,44.7492690086,-1273.5020304890,44.7492690086,-1293.0436488950,44.7492690086,-39.6757355064
44.7970511913,-0.0362415863,44.7970511913,0.0078942977,44.7970511913,0.0370914076,44.7970511913,167.7115398533,44.7970511913,-1272.2884601467,44.7970511913,-1285.4483203731,44.7970511913,-33.5516753114
44.7970511913,-0.0387596841,44.7970511913,0.0104393332,44.7970511913,0.0401409117,44.7970511913,164.9259522746,44.7970511913,-1275.0740477254,44.7970511913,-1277.5998516907,44.7970511913,-22.3808517433
44.7970511913,-0.0372638467,44.7970511913,0.0111165481,44.7970511913,0.0388866547,44.7970511913,163.38910936,44.7970511913,-1276.6108906400,44.7970511913,-1269.6779025638,44.7970511913,-7.8870572888
