Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
462.9291138649,0.0021504521,462.9291138649,0.0001488647,462.9291138649,0.0021555985,462.9291138649,3.9599734259,462.9291138649,-1076.0400265741,462.9291138649,0.0297664700,462.9291138649,-0.8205969318
462.974095583,0.0027540159,462.974095583,-0.0004398294,462.974095583,0.0027889161,462.974095583,-9.0737808961,462.974095583,-1089.0737808961,462.974095583,0.0295612489,462.974095583,-2.7853738955
463.019985199,0.0029604808,463.019985199,-0.0003957760,463.019985199,0.0029868186,463.019985199,-7.6145179864,463.019985199,-1087.6145179864,463.019985199,0.0156865754,463.019985199,-3.3580659887
463.0795321465,0.0030789951,463.0795321465,0.0005880870,463.0795321465,0.0031346542,463.0795321465,10.8132377404,463.0795321465,-1069.1867622596,463.0795321465,-0.0094007848,463.0795321465,-1.5066809152
463.1244120598,0.0027338669,463.1244120598,0.0008915550,463.1244120598,0.0028755693,463.1244120598,18.0619245901,463.1244120598,-1061.9380754099,463.1244120598,-0.0407511570,463.1244120598,1.6675012536
463.1692686081,0.0000877362,463.1692686081,0.0022041833,463.1692686081,0.0022059288,463.1692686081,87.7205777957,463.1692686081,-992.2794222043,463.1692686081,-0.0752848916,463.1692686081,6.8459740252
463.2296960354,0.0006587005,463.2296960354,0.0023547380,463.2296960354,0.0024451334,463.2296960354,74.3718823358,463.2296960354,-1005.6281176642,463.2296960354,-0.1119123035,463.2296960354,9.5568498587
463.2753124237,0.0004941356,463.2753124237,0.0029011607,463.2753124237,0.0029429413,463.2753124237,80.3339462243,463.2753124237,-999.6660537757,463.2753124237,-0.1502326568,463.2753124237,9.2825970093
463.3200771809,-0.0001958232,463.3200771809,0.0028844916,463.3200771809,0.002891131,463.3200771809,93.8837525512,463.3200771809,-986.1162474488,463.3200771809,-0.1933258149,463.3200771809,5.4344912771
463.3804683685,-0.000373813,463.3804683685,0.0024410838,463.3804683685,0.0024695397,463.3804683685,98.7062987962,463.3804683685,-981.2937012038,463.3804683685,-0.2435687277,463.3804683685,-1.8949800157
463.4259033203,0.0000204562,463.4259033203,0.0022931053,463.4259033203,0.0022931965,463.4259033203,89.4888918033,463.4259033203,-990.5111081967,463.4259033203,-0.3048708628,463.4259033203,-11.0385447478
463.4563922882,0.0002256321,463.4563922882,0.0025730914,463.4563922882,0.0025829652,463.4563922882,84.9886017074,463.4563922882,-995.0113982926,463.4563922882,-0.3825572245,463.4563922882,-18.3162020556
463.5312914848,0.0000264548,463.5312914848,0.0026673823,463.5312914848,0.0026675135,463.5312914848,89.4317652156,463.5312914848,-990.5682347844,463.5312914848,-0.4817530080,463.5312914848,-20.0873286417
463.5763437748,-0.0003059137,463.5763437748,0.0026214759,463.5763437748,0.0026392649,463.5763437748,96.6560396813,463.5763437748,-983.3439603187,463.5763437748,-0.6051556857,463.5763437748,-14.8843209795
463.6216731071,-0.0003653164,463.6216731071,0.0024589361,463.6216731071,0.0024859249,463.6216731071,98.4504435330,463.6216731071,-981.549556467,463.6216731071,-0.7512503249,463.6216731071,-4.4806090593
463.6817386150,-0.0001169434,463.6817386150,0.0022297448,463.6817386150,0.0022328094,463.6817386150,93.0022392995,463.6817386150,-986.9977607005,463.6817386150,-0.9143823933,463.6817386150,6.9478106850
463.7266085148,-0.0000245396,463.7266085148,0.0025011172,463.7266085148,0.0025012376,463.7266085148,90.5621372024,463.7266085148,-989.4378627976,463.7266085148,-1.0857094607,463.7266085148,15.1987750365
463.7716605663,-0.0000610413,463.7716605663,0.0026372149,463.7716605663,0.0026379212,463.7716605663,91.3259386646,463.7716605663,-988.6740613354,463.7716605663,-1.2542031954,463.7716605663,17.6957353972
